,first_top_up_date,second_top_up_date,segment,survival_in_days,status
7322,2022-03-22,,fast,9.0,False
3812,2022-02-26,,regular,33.0,False
8327,2022-01-05,,fast,85.0,False
6664,2022-01-25,2022-02-20,regular,26.0,True
1262,2022-01-04,2022-02-02,regular,29.0,True
3401,2022-01-04,2022-02-06,regular,33.0,True
3203,2022-02-22,2022-03-03,regular,9.0,True
1390,2022-03-07,,regular,24.0,False
9617,2022-01-17,2022-03-16,chunk,58.0,True
7480,2022-03-25,,fast,6.0,False
4147,2022-01-02,2022-02-01,regular,30.0,True
6829,2022-03-15,,regular,16.0,False
6241,2022-01-29,2022-03-05,regular,35.0,True
2978,2022-02-24,,regular,35.0,False
2154,2022-03-01,,regular,30.0,False
1494,2022-01-19,2022-02-15,regular,27.0,True
343,2022-02-28,2022-03-25,regular,25.0,True
3185,2022-01-26,2022-03-04,regular,37.0,True
779,2022-03-04,2022-03-27,regular,23.0,True
130,2022-01-27,2022-02-22,regular,26.0,True
9388,2022-03-24,,chunk,7.0,False
8239,2022-03-20,2022-03-28,fast,8.0,True
1522,2022-01-08,2022-02-04,regular,27.0,True
7353,2022-02-26,2022-03-11,fast,13.0,True
5480,2022-01-11,2022-02-10,regular,30.0,True
8279,2022-03-04,2022-03-31,fast,27.0,True
9805,2022-01-11,,chunk,79.0,False
9437,2022-02-09,,chunk,50.0,False
1551,2022-01-28,2022-03-04,regular,35.0,True
3379,2022-01-12,,regular,78.0,False
809,2022-01-23,,regular,67.0,False
624,2022-02-20,,regular,39.0,False
6358,2022-03-22,,regular,9.0,False
4644,2022-02-11,,regular,48.0,False
810,2022-03-14,,regular,17.0,False
8688,2022-01-30,2022-02-15,fast,16.0,True
3059,2022-01-07,,regular,83.0,False
412,2022-02-10,2022-03-07,regular,25.0,True
885,2022-01-13,,regular,77.0,False
9744,2022-02-04,,chunk,55.0,False
932,2022-03-17,,regular,14.0,False
3011,2022-03-23,,regular,8.0,False
8643,2022-02-21,2022-03-18,fast,25.0,True
2184,2022-02-09,,regular,50.0,False
5867,2022-02-01,,regular,58.0,False
689,2022-01-04,2022-01-30,regular,26.0,True
3588,2022-02-03,2022-02-28,regular,25.0,True
5456,2022-03-02,,regular,29.0,False
4522,2022-02-15,,regular,44.0,False
9108,2022-03-04,,chunk,27.0,False
6364,2022-01-18,2022-02-14,regular,27.0,True
7075,2022-01-01,2022-01-06,fast,5.0,True
8700,2022-02-27,,fast,32.0,False
1101,2022-01-22,,regular,68.0,False
5160,2022-01-25,,regular,65.0,False
1007,2022-03-29,,regular,2.0,False
7240,2022-01-31,2022-02-18,fast,18.0,True
4366,2022-03-08,,regular,23.0,False
5963,2022-02-23,2022-03-22,regular,27.0,True
4362,2022-02-19,2022-03-24,regular,33.0,True
7623,2022-01-25,2022-02-22,fast,28.0,True
6461,2022-03-29,,regular,2.0,False
2838,2022-02-18,2022-03-22,regular,32.0,True
7731,2022-03-20,,fast,11.0,False
9374,2022-03-20,,chunk,11.0,False
395,2022-02-12,,regular,47.0,False
7812,2022-03-16,,fast,15.0,False
6941,2022-02-20,2022-03-17,regular,25.0,True
8509,2022-03-22,,fast,9.0,False
230,2022-01-11,,regular,79.0,False
6259,2022-02-16,2022-03-16,regular,28.0,True
4473,2022-02-27,,regular,32.0,False
2022,2022-02-03,,regular,56.0,False
7107,2022-01-31,,fast,59.0,False
1747,2022-01-25,2022-02-10,regular,16.0,True
3820,2022-02-08,2022-03-07,regular,27.0,True
3881,2022-02-10,2022-03-10,regular,28.0,True
2336,2022-01-13,2022-02-07,regular,25.0,True
6570,2022-02-01,2022-03-10,regular,37.0,True
360,2022-02-02,,regular,57.0,False
8126,2022-03-10,2022-03-29,fast,19.0,True
5052,2022-02-06,2022-03-03,regular,25.0,True
283,2022-03-17,2022-03-26,regular,9.0,True
7595,2022-03-29,,fast,2.0,False
1484,2022-03-03,,regular,28.0,False
9996,2022-03-29,,chunk,2.0,False
3797,2022-01-21,,regular,69.0,False
3818,2022-03-18,,regular,13.0,False
9371,2022-02-28,,chunk,31.0,False
6749,2022-02-09,,regular,50.0,False
112,2022-03-12,,regular,19.0,False
1202,2022-02-19,2022-03-22,regular,31.0,True
732,2022-01-09,2022-01-28,regular,19.0,True
4071,2022-02-23,2022-03-26,regular,31.0,True
5189,2022-03-20,,regular,11.0,False
1272,2022-02-13,,regular,46.0,False
3558,2022-02-28,2022-03-23,regular,23.0,True
4134,2022-03-20,,regular,11.0,False
142,2022-01-29,2022-03-01,regular,31.0,True
3195,2022-03-24,,regular,7.0,False
9927,2022-02-11,,chunk,48.0,False
977,2022-03-15,,regular,16.0,False
368,2022-03-18,,regular,13.0,False
378,2022-02-19,,regular,40.0,False
3906,2022-03-05,,regular,26.0,False
9319,2022-01-09,,chunk,81.0,False
6161,2022-01-27,2022-02-24,regular,28.0,True
1162,2022-01-04,2022-02-07,regular,34.0,True
8097,2022-03-01,,fast,30.0,False
6709,2022-02-25,2022-03-23,regular,26.0,True
7766,2022-03-14,,fast,17.0,False
7226,2022-01-23,,fast,67.0,False
7896,2022-02-06,2022-02-25,fast,19.0,True
3214,2022-01-07,2022-01-20,regular,13.0,True
4866,2022-01-30,2022-03-02,regular,31.0,True
4931,2022-02-20,2022-03-28,regular,36.0,True
8504,2022-02-09,2022-02-18,fast,9.0,True
2291,2022-01-09,2022-02-18,regular,40.0,True
8220,2022-02-28,2022-03-13,fast,13.0,True
690,2022-02-16,2022-03-06,regular,18.0,True
7479,2022-03-03,,fast,28.0,False
1577,2022-02-02,2022-03-01,regular,27.0,True
5632,2022-02-24,2022-03-27,regular,31.0,True
6694,2022-03-07,2022-03-20,regular,13.0,True
671,2022-03-11,,regular,20.0,False
8904,2022-03-27,,fast,4.0,False
5785,2022-02-12,2022-03-14,regular,30.0,True
4397,2022-03-24,,regular,7.0,False
3708,2022-01-24,2022-02-24,regular,31.0,True
5787,2022-03-16,,regular,15.0,False
6176,2022-02-12,,regular,47.0,False
385,2022-03-12,,regular,19.0,False
9093,2022-02-07,,chunk,52.0,False
8038,2022-02-04,2022-02-12,fast,8.0,True
4917,2022-02-22,,regular,37.0,False
3712,2022-01-28,2022-02-26,regular,29.0,True
9704,2022-01-20,2022-03-23,chunk,62.0,True
2455,2022-02-21,,regular,38.0,False
3675,2022-01-29,,regular,61.0,False
8118,2022-03-23,,fast,8.0,False
3725,2022-02-25,2022-03-22,regular,25.0,True
7099,2022-02-02,2022-02-28,fast,26.0,True
2979,2022-03-03,,regular,28.0,False
5532,2022-01-21,2022-02-28,regular,38.0,True
9116,2022-02-26,,chunk,33.0,False
1467,2022-01-12,2022-02-12,regular,31.0,True
1994,2022-02-09,2022-03-05,regular,24.0,True
5606,2022-03-09,,regular,22.0,False
8138,2022-01-09,2022-01-15,fast,6.0,True
7051,2022-03-17,,fast,14.0,False
2693,2022-03-07,,regular,24.0,False
4454,2022-03-16,,regular,15.0,False
5970,2022-01-22,2022-02-28,regular,37.0,True
8029,2022-02-16,,fast,43.0,False
2852,2022-02-06,2022-02-23,regular,17.0,True
8372,2022-02-05,2022-02-14,fast,9.0,True
4404,2022-03-09,2022-03-29,regular,20.0,True
6428,2022-03-17,,regular,14.0,False
3072,2022-03-18,,regular,13.0,False
623,2022-01-24,2022-02-14,regular,21.0,True
7483,2022-01-18,2022-02-09,fast,22.0,True
3189,2022-02-28,,regular,31.0,False
8831,2022-02-24,2022-03-15,fast,19.0,True
9180,2022-03-30,,chunk,1.0,False
8496,2022-03-21,2022-03-24,fast,3.0,True
7470,2022-01-21,,fast,69.0,False
6970,2022-02-23,,regular,36.0,False
1081,2022-03-17,,regular,14.0,False
1403,2022-03-10,,regular,21.0,False
7512,2022-03-05,,fast,26.0,False
8474,2022-01-24,2022-02-06,fast,13.0,True
3016,2022-02-27,2022-03-30,regular,31.0,True
796,2022-01-11,2022-02-11,regular,31.0,True
5550,2022-03-12,,regular,19.0,False
6002,2022-02-23,2022-03-29,regular,34.0,True
4769,2022-01-07,2022-01-31,regular,24.0,True
7619,2022-02-01,2022-02-16,fast,15.0,True
7601,2022-02-15,2022-02-27,fast,12.0,True
3150,2022-02-11,2022-03-13,regular,30.0,True
8968,2022-03-24,,fast,7.0,False
6037,2022-01-12,2022-02-09,regular,28.0,True
248,2022-01-28,,regular,62.0,False
7227,2022-02-04,2022-03-09,fast,33.0,True
1608,2022-03-18,,regular,13.0,False
8865,2022-01-09,2022-02-09,fast,31.0,True
226,2022-03-24,,regular,7.0,False
5361,2022-01-15,,regular,75.0,False
7598,2022-03-20,,fast,11.0,False
5004,2022-01-29,2022-03-05,regular,35.0,True
9524,2022-01-23,2022-03-24,chunk,60.0,True
